i:373, rate:4600, w: 6, P99: 1192.9671012772294
i:374, rate:2400, w: 6, P99: 1008.1355707377783
i:375, rate:4600, w: 6, P99: 1191.1773351423708
i:376, rate:1200, w: 0, P99: 252.2392083459782
i:377, rate:2000, w: 0, P99: 701.9585681311504
i:378, rate:4000, w: 6, P99: 1158.0914222917431
i:379, rate:1200, w: 0, P99: 257.22354683368206
i:380, rate:3600, w: 6, P99: 1133.4071764393625
i:381, rate:2600, w: 6, P99: 1028.662405524999
i:382, rate:3600, w: 6, P99: 1134.3542913978993
i:383, rate:600, w: 6, P99: 724.8665698552607
i:384, rate:1400, w: 0, P99: 327.9244586631943
i:385, rate:1000, w: 6, P99: 821.2135426307624
i:386, rate:1000, w: 0, P99: 216.18589619226447
i:387, rate:800, w: 6, P99: 778.7850280078852
i:388, rate:1800, w: 0, P99: 533.679623514689
i:389, rate:2200, w: 0, P99: 874.5536445234211
i:390, rate:3200, w: 6, P99: 1100.3585641288648
i:391, rate:3800, w: 6, P99: 1146.5335927553676
i:392, rate:3000, w: 6, P99: 1076.9712711115922
i:393, rate:2800, w: 6, P99: 1057.4724985397665
i:394, rate:2600, w: 6, P99: 1033.163256879444
i:395, rate:2000, w: 0, P99: 680.4993945033001
i:396, rate:1400, w: 0, P99: 331.74639963195347
i:397, rate:3200, w: 6, P99: 1095.7756298398006
i:398, rate:400, w: 0, P99: 139.34154993518337
i:399, rate:3200, w: 6, P99: 1096.4726679700852
i:400, rate:2000, w: 0, P99: 699.409269696056
i:401, rate:1400, w: 0, P99: 313.42988409144715
i:402, rate:4400, w: 6, P99: 1182.614403171377
i:403, rate:4400, w: 6, P99: 1183.4119752930285
i:404, rate:800, w: 0, P99: 186.5453507213653
i:405, rate:3400, w: 6, P99: 1114.811849385599
i:406, rate:2400, w: 6, P99: 1003.7408788820856
i:407, rate:4000, w: 6, P99: 1161.480710086454
i:408, rate:1400, w: 0, P99: 337.7173629167165
i:409, rate:4600, w: 6, P99: 1191.5524862660814
i:410, rate:3600, w: 6, P99: 1129.4737620310289
i:411, rate:600, w: 6, P99: 708.4740995074831
i:412, rate:1200, w: 0, P99: 267.21513464303484
i:413, rate:2200, w: 0, P99: 883.6076739352568
i:414, rate:2800, w: 6, P99: 1054.1051512912106
i:415, rate:800, w: 6, P99: 774.6957174674807
i:416, rate:4600, w: 6, P99: 1196.333374618771
i:417, rate:1800, w: 0, P99: 551.1975917267418
i:418, rate:600, w: 6, P99: 710.7623560019294
i:419, rate:3000, w: 6, P99: 1080.488783228321
i:420, rate:600, w: 6, P99: 711.5426969982617
i:421, rate:2200, w: 0, P99: 874.3076933893756
i:422, rate:1600, w: 0, P99: 429.8907173478164
i:423, rate:3000, w: 6, P99: 1078.7145762578862
i:424, rate:1600, w: 0, P99: 407.7295098207394
i:425, rate:4800, w: 6, P99: 1198.5352936540678
i:426, rate:3400, w: 6, P99: 1115.2566606615665
i:427, rate:2800, w: 6, P99: 1053.0809190206
i:428, rate:1200, w: 0, P99: 260.1442911885812
i:429, rate:2800, w: 6, P99: 1056.8263518908568
i:430, rate:800, w: 6, P99: 773.2655861280106
i:431, rate:1200, w: 0, P99: 274.9820421684667
i:432, rate:1600, w: 0, P99: 426.09757267613725
i:433, rate:1400, w: 0, P99: 323.0903359380398
i:434, rate:4200, w: 6, P99: 1169.9730888199617
i:435, rate:4800, w: 6, P99: 1197.2187146810245
i:436, rate:3600, w: 6, P99: 1135.2655670902047
i:437, rate:2200, w: 0, P99: 874.0611578235232
i:438, rate:800, w: 6, P99: 778.6076494044838
i:439, rate:600, w: 6, P99: 708.762596828398
i:440, rate:400, w: 0, P99: 137.54080131661337
i:441, rate:2400, w: 6, P99: 1006.611286886048
i:442, rate:800, w: 6, P99: 779.5087782038457
i:443, rate:2000, w: 0, P99: 736.9905721485688
i:444, rate:3800, w: 6, P99: 1145.3718005164922
i:445, rate:1000, w: 6, P99: 820.5428859284141
i:446, rate:3200, w: 6, P99: 1093.304879793382
i:447, rate:1400, w: 0, P99: 326.890407217172
i:448, rate:600, w: 6, P99: 717.510508125126
