5.0
i:376, rate:2200, w: 1, P99: 1235.8245321614
i:377, rate:1700, w: 1, P99: 1227.072938149035
5.0
i:378, rate:1000, w: 0, P99: 681.2999910218258
1.8857475781249988
i:379, rate:800, w: 0, P99: 390.2256472640839
i:380, rate:1900, w: 1, P99: 1231.968018553785
5.0
i:381, rate:700, w: 0, P99: 327.30179042450413
i:382, rate:2000, w: 1, P99: 1235.2760582558344
i:383, rate:1400, w: 1, P99: 1210.0227685547404
i:384, rate:2000, w: 1, P99: 1228.2825500058057
5.0
i:385, rate:500, w: 0, P99: 211.4402167262055
i:386, rate:1300, w: 1, P99: 1205.3309385782618
i:387, rate:1900, w: 1, P99: 1231.2975550229744
5.0
i:388, rate:800, w: 0, P99: 431.6982985983319
i:389, rate:1400, w: 1, P99: 1219.6551062525855
i:390, rate:1500, w: 1, P99: 1217.4088190294772
5.0
i:391, rate:700, w: 0, P99: 348.981092112545
2.6100312500000005
i:392, rate:300, w: 0, P99: 162.15789653547955
i:393, rate:1800, w: 1, P99: 1229.1652496030836
5.498279320508502
i:394, rate:1300, w: 0, P99: 1286.0884630725288
i:395, rate:1500, w: 1, P99: 1212.498223929268
i:396, rate:1600, w: 1, P99: 1220.83708393926
i:397, rate:1800, w: 1, P99: 1227.1572006012207
i:398, rate:2300, w: 1, P99: 1228.4580434500776
5.0
i:399, rate:200, w: 0, P99: 136.3598787351713
i:400, rate:1300, w: 1, P99: 1201.3607120768736
i:401, rate:1600, w: 1, P99: 1220.0306155065982
i:402, rate:1500, w: 1, P99: 1215.6495425374428
5.0
i:403, rate:200, w: 0, P99: 133.59289646757335
i:404, rate:2300, w: 1, P99: 1232.646340194503
i:405, rate:2400, w: 1, P99: 1236.6625571849695
5.0
i:406, rate:500, w: 0, P99: 212.49546121026404
5.0
i:407, rate:1100, w: 0, P99: 878.178553440069
i:408, rate:1200, w: 1, P99: 1194.9377962907897
i:409, rate:1900, w: 1, P99: 1229.7282863984901
5.0
i:410, rate:1200, w: 0, P99: 1102.9159871561665
i:411, rate:2100, w: 1, P99: 1234.7169805593421
i:412, rate:1700, w: 1, P99: 1228.5194917575789
i:413, rate:1700, w: 1, P99: 1229.176412286762
5.0
i:414, rate:1200, w: 0, P99: 1059.40454357507
1.602885441406249
i:415, rate:700, w: 0, P99: 332.29137354346614
i:416, rate:2000, w: 1, P99: 1228.1472869810352
5.0
i:417, rate:1000, w: 0, P99: 756.2095654572688
1.3624526251953117
i:418, rate:700, w: 0, P99: 322.0257523556023
4.25
i:419, rate:1100, w: 0, P99: 871.0718477283708
3.0706249999999997
i:420, rate:1200, w: 0, P99: 1060.7931975949848
i:421, rate:1400, w: 1, P99: 1212.2942088672578
i:422, rate:2200, w: 1, P99: 1233.4167349091263
i:423, rate:1300, w: 1, P99: 1207.2299061789874
i:424, rate:1200, w: 1, P99: 1197.9983617286957
5.0
i:425, rate:1200, w: 0, P99: 1096.8962781114742
i:426, rate:1500, w: 1, P99: 1213.8052505696708
5.0
i:427, rate:1100, w: 0, P99: 879.1838301546351
0.8367162184480712
i:428, rate:500, w: 0, P99: 213.553820634663
i:429, rate:1700, w: 1, P99: 1230.1572888671665
i:430, rate:1500, w: 1, P99: 1218.4125376088336
5.0
i:431, rate:500, w: 0, P99: 220.5366023137038
3.6125000000000007
i:432, rate:200, w: 0, P99: 133.1490639938432
i:433, rate:1900, w: 1, P99: 1230.724174171132
5.0
i:434, rate:700, w: 0, P99: 322.2773152291311
2.6100312500000005
i:435, rate:1100, w: 0, P99: 935.3886702742368
2.6100312500000005
i:436, rate:1200, w: 0, P99: 1128.0070345623308
2.2185265624999992
i:437, rate:1200, w: 0, P99: 1125.3501359018705
i:438, rate:2400, w: 1, P99: 1239.581330830307
5.0
i:439, rate:300, w: 0, P99: 161.58880848834602
i:440, rate:2300, w: 1, P99: 1234.5055116495664
5.0
i:441, rate:1200, w: 0, P99: 1140.442535161628
1.3624526251953117
i:442, rate:800, w: 0, P99: 426.6769567190922
1.1580847314160163
i:443, rate:600, w: 0, P99: 262.00518248073394
i:444, rate:2000, w: 1, P99: 1233.3155161218024
i:445, rate:300, w: 2, P99: 834.0370182558261
i:446, rate:2000, w: 1, P99: 1235.3390475930971
i:447, rate:1800, w: 1, P99: 1230.8478061544497
5.0
i:448, rate:1300, w: 0, P99: 1294.0422277782632
i:449, rate:1700, w: 1, P99: 1224.0649114175328
5.0
i:450, rate:800, w: 0, P99: 412.38282220792917
i:451, rate:2000, w: 1, P99: 1235.9340521365732
i:452, rate:1300, w: 1, P99: 1206.0328306820336
5.0
i:453, rate:800, w: 0, P99: 433.0358573215549
0.9843720217036136
i:454, rate:700, w: 0, P99: 325.55432659793496
i:455, rate:1900, w: 1, P99: 1231.9440409695405
5.0
i:456, rate:1100, w: 0, P99: 879.4810621720331
5.499751852890929
i:457, rate:1300, w: 0, P99: 1293.4378818074395
i:458, rate:1800, w: 1, P99: 1228.6691029079616
i:459, rate:1300, w: 1, P99: 1201.5489707091783
i:460, rate:1300, w: 1, P99: 1196.7162979567472
5.0
i:461, rate:300, w: 0, P99: 161.18487474515527
i:462, rate:1600, w: 1, P99: 1219.5620225340692
i:463, rate:1000, w: 2, P99: 1140.2937292354395
i:464, rate:1600, w: 3, P99: 1186.902424463989
i:465, rate:1300, w: 3, P99: 1152.8125587774516
i:466, rate:1800, w: 4, P99: 1196.970041080438
i:467, rate:1200, w: 5, P99: 1056.4240904710578
i:468, rate:2400, w: 4, P99: 1222.1814762056538
i:469, rate:400, w: 3, P99: 852.2405446100331
i:470, rate:500, w: 2, P99: 994.1847431080065
i:471, rate:1800, w: 1, P99: 1227.2120208853116
5.0
i:472, rate:400, w: 0, P99: 184.74321575764168
2.6100312500000005
i:473, rate:900, w: 0, P99: 521.813913050112
3.0706249999999997
i:474, rate:200, w: 0, P99: 135.38530814659455
i:475, rate:1400, w: 1, P99: 1209.5561429663574
i:476, rate:1000, w: 1, P99: 1168.393959462464
5.0
i:477, rate:1000, w: 0, P99: 704.4442587910977
2.6100312500000005
i:478, rate:200, w: 0, P99: 133.26454680655522
0.71120878568086
i:479, rate:400, w: 0, P99: 184.51359104554112
0.6045274678287313
i:480, rate:500, w: 0, P99: 211.8106669186503
2.2185265624999992
