i:506, rate:900, w: 0, P99: 529.9718464001212
i:507, rate:1300, w: 6, P99: 1030.8415760219004
i:508, rate:200, w: 0, P99: 133.36786029257496
i:509, rate:1200, w: 6, P99: 1003.8777296270517
i:510, rate:800, w: 5, P99: 941.94731685101
i:511, rate:600, w: 0, P99: 254.7370771775515
i:512, rate:2200, w: 6, P99: 1178.6540584635036
i:513, rate:1100, w: 0, P99: 877.491186648899
i:514, rate:1100, w: 0, P99: 855.6420209346563
i:515, rate:2400, w: 6, P99: 1202.9484033787005
i:516, rate:1600, w: 6, P99: 1096.219137519548
